Unnamed: 0,label_type,start_pos,end_pos,entities,originalText
0,"['试验要素', '试验要素', '试验要素', '性能指标', '试验要素', '试验要素', '系统组成', '试验要素', '系统组成', '性能指标', '任务场景', '性能指标', '性能指标']","[25, 44, 62, 71, 79, 85, 94, 109, 118, 147, 159, 182, 186]","[31, 52, 69, 71, 83, 92, 99, 116, 121, 150, 165, 183, 188]",f-35战斗机;f-35战斗机系统;f-35b战斗机;DELETE;f-35b;f-35c战斗机;空中受油头锥;f-35a战斗机;机炮射击;可靠性指;联合攻击战斗机;机队;可用率,"美国国防部作战试验鉴定局2017财年年度报告指出,f-35战斗机整体上存在诸多问题:一是f-35战斗机系统存在技术缺陷,包括f-35b战斗机轮胎性能低于需求,f-35b和f-35c战斗机的空中受油头锥破损过于频繁,以及f-35a战斗机的机炮射击精度仍有缺陷等;二是f-35项目技术成熟时的大部分可靠性指标都不太可能达到联合攻击战斗机《作战需求文件》的门槛需求;三是机队整体可用率偏低。"
1,"['试验要素', '性能指标', '性能指标', '系统组成', '系统组成', '系统组成', '性能指标']","[6, 34, 47, 60, 65, 75, 86]","[16, 35, 48, 62, 67, 78, 89]","""谢波德""亚轨道飞行器;高度;速度;乘员舱;降落伞;推进模块;垂直着陆","蓝源公司新型""谢波德""亚轨道飞行器试飞成功,试飞中,飞行器达到的最高高度近100千米,上升阶段速度达到马赫数2.94,在乘员舱利用降落伞下降的过程中,推进模块进行了有动力的垂直着陆,该飞行器在起飞10分6秒后降落,此次试飞是首次使用由美国联邦航空局于2017年8月发给蓝源公司的全面发射许可证进行的新型""谢波德""发射。"
2,"['任务场景', '试验要素', '试验要素', '试验要素', '试验要素', '试验要素', '试验要素', '系统组成', '试验要素', '任务场景', '任务场景']","[0, 16, 48, 64, 78, 95, 128, 137, 147, 157, 164]","[14, 31, 62, 76, 89, 103, 131, 143, 151, 160, 167]","""天基红外系统""(sbirs);新型地面系统block10增量2;""国防支援计划""(dsp)卫星;sbirs地球同步轨道卫星;sbirs大椭圆轨道载荷;预警卫星星座/载荷;操作控制;主要任务控制站;备份控制站;控制流程;运行效率","""天基红外系统""(sbirs)的新型地面系统block10增量2进入试验阶段,该系统可同时对包括""国防支援计划""(dsp)卫星,sbirs地球同步轨道卫星,sbirs大椭圆轨道载荷在内的全部预警卫星星座/载荷进行控制,block10增量2系统将sbirs的操作控制集成至一个主要任务控制站及一个备份控制站,大幅简化控制流程,提高运行效率。"
3,"['试验要素', '任务场景', '任务场景', '试验要素', '试验要素', '任务场景', '试验要素', '试验要素', '试验要素', '试验要素', '任务场景']","[4, 17, 20, 25, 39, 76, 81, 88, 99, 112, 134]","[13, 17, 20, 32, 44, 76, 82, 93, 104, 118, 140]","p-8a海上侦察飞机;DELETE;DELETE;""(lvc)环境;设备认证试验;DELETE;暗室;导航模拟设备;真实飞行试验;lvc环境试验;f-35战斗机","美国海军p-8a海上侦察飞机在""真实,虚拟,构造的""(lvc)环境下完成了一次设备认证试验,试验在帕图森特河海军航空站的暗室里进行,一架真实的p-8a飞机被放置在暗室中间,利用导航模拟设备模拟了类似真实飞行试验的场景,如果该lvc环境试验被证明可行,接下来美国海军包括f-35战斗机在内的许多飞机也将在该环境中进行相关试验。"
4,"['试验要素', '试验要素', '试验要素', '性能指标', '性能指标', '系统组成', '系统组成', '系统组成', '任务场景', '试验要素', '试验要素', '性能指标']","[9, 19, 43, 73, 89, 109, 114, 119, 143, 172, 193, 204]","[13, 25, 55, 76, 92, 112, 117, 122, 145, 175, 198, 207]","""追梦者"";航天运载飞行器;空中投放-滑翔着陆飞行试验;接地速度;滑行距离;气动性能;飞行软件;控制系统;货运型;9号风洞;高速风洞试验;气动性能","美国内达华山脉公司""追梦者""可重复使用航天运载飞行器在加利福尼亚州莫哈维沙漠成功完成了空中投放-滑翔着陆飞行试验,整个滑翔飞行时间约60秒,飞行器接地速度约305千米/小时,着陆滑行距离约1294米,此次飞行试验验证了气动性能,飞行软件和控制系统性能,并收集了相关数据用于完成""追梦者""货运型的最终设计,目前,""追梦者""同时在阿诺德工程发展中心9号风洞进行马赫数10和马赫数14条件下的高速风洞试验,以确认其气动性能。"
5,"['试验要素', '试验要素', '试验要素', '试验要素', '试验要素', '试验要素', '试验要素']","[40, 66, 86, 103, 108, 153, 182]","[57, 77, 92, 106, 114, 156, 183]",go1惰性试验件系留运载飞行试验项目;go1-ita空射型火箭;c-20a飞机;飞行测试;c-20a飞机;动力飞行;模型,"nasa和小型运载火箭开发商---时代轨道发射服务(go)公司日前已经合作完成了go1惰性试验件系留运载飞行试验项目,go公司开发了go1-ita空射型火箭已获得nasa的c-20a飞机的适航批准,针对此次飞行测试,c-20a飞机进行了适度修改,试飞总共进行了三次,成功完成了所有预定测试任务,go1的首次动力飞行预计于2019年进行,在此期间收集的数据将用于验证模型,并反馈至处于设计和研发阶段的go1项目。"
6,"['试验要素', '试验要素', '任务场景', '性能指标', '性能指标', '任务场景', '任务场景', '试验要素']","[22, 35, 60, 65, 77, 95, 99, 104]","[33, 38, 60, 68, 80, 97, 99, 107]","""烈火""-5洲际弹道导弹;发射试验;DELETE;飞行距离;飞行时间;""-5;DELETE;飞行试验","当地时间1月18日上午10时左右,印度进行了""烈火""-5洲际弹道导弹的发射试验,导弹从印度东边卡拉姆岛上的一个公路机动发射站发射,飞行距离约4800千米,飞行时间约19分钟,此次试验是""烈火""-5导弹的第5次飞行试验。"
7,"['任务场景', '试验要素', '任务场景', '任务场景', '任务场景', '任务场景']","[8, 15, 60, 66, 73, 78]","[11, 32, 63, 67, 74, 83]","火星任务;小型核动力系统""kilopower"";空间任务;能源;火星;行星表面任务","nasa表示,为火星任务设计的小型核动力系统""kilopower""首次试验取得成功,kilopower系统的目标是为未来空间任务提供能源,并可能为火星和其他行星表面任务提供能源,测试开始于2017年11月,在能源部的内华达州国家安全场开展,官方表示,系统的全面测试将于2018年3月进行。"
8,"['试验要素', '试验要素', '任务场景', '性能指标', '性能指标', '性能指标', '试验要素', '性能指标', '性能指标', '性能指标']","[26, 60, 63, 76, 81, 87, 108, 115, 118, 138]","[46, 61, 69, 79, 85, 90, 113, 116, 120, 142]",陆军作战人员信息网络战术(win-t)项目;作战;员信息网络战术;作战效能;作战适用性;生存能力;战术网络元素;大小;复杂性;作战适用性,"美国国防部作战试验鉴定局于2017年11月28日发布陆军作战人员信息网络战术(win-t)项目评估报告(全文37页),对作战人员信息网络战术的两个要素的作战效能,作战适用性和生存能力进行了评估,报告肯定了陆军为减少其战术网络元素的大小和复杂性所做的努力,指出win-t简版具备作战适用性,但依然存在种种限制。"
9,"['试验要素', '试验要素', '试验要素', '任务场景', '任务场景', '试验要素', '系统组成', '系统组成', '系统组成', '试验要素', '性能指标']","[15, 25, 48, 66, 79, 91, 96, 99, 103, 119, 184]","[19, 46, 51, 77, 81, 94, 97, 101, 105, 136, 187]","p5试车台;""火神""2.1(vulcain2.1)发动机;点火试验;""阿里安""-6火箭芯一级;主动力;飞行包线;推力;混合比;推进剂;""阿里安""-6上面级vinci发动机;点火能力","德国航空航天中心在拉帕德少森的p5试车台成功进行了""火神""2.1(vulcain2.1)发动机的点火试验。""火神""2.1发动机将作为""阿里安""-6火箭芯一级的主动力,""火神""2.1在飞行包线(推力,混合比和推进剂)内进行了测试。与此同时，""阿里安""-6上面级vinci发动机的合格认证计划正按照预定时间进行，在法国和德国的两个试车台上进行了130余次试验，其中包括数次点火能力演示验证。"
